lat,lon,0:01:35,0:05:59,0:10:23,0:14:47,0:19:11,0:27:59,0:32:23,0:36:47,0:41:10,0:45:34,0:49:58,0:54:21,1:03:09,1:07:32,1:11:54,1:16:17,1:20:39,1:25:02,1:29:24,1:38:07,1:42:29,1:46:50,1:51:12,1:55:33,1:59:53,2:08:35,2:12:56,2:17:16,2:21:37,2:25:57,2:30:17,2:34:38,2:43:17,2:47:37,2:51:56,2:56:16,3:00:35,3:04:55,3:13:33,3:17:53,3:22:12,3:26:31,3:30:50,3:35:09,3:39:27,3:48:05,3:52:23,3:56:43,4:01:02,4:05:21,4:09:39,4:18:16,4:22:34,4:26:53,4:31:11,4:35:30,4:39:48,4:48:25,4:52:43,4:57:01,5:01:19,5:05:38,5:09:56,5:18:34,5:22:53,5:27:12,5:31:31,5:35:50,5:40:09,5:48:48,5:53:08,5:57:28,6:01:48,6:06:09,6:10:30,6:14:51,6:23:35,6:27:57,6:32:20,6:36:42,6:41:06,6:45:28,6:49:52,6:58:39,7:03:02,7:07:26,7:11:50,7:16:13,7:20:37,7:25:00,7:33:48,7:38:12,7:42:35,7:46:59,7:51:22,7:55:46,8:00:10,8:08:57,8:13:21,8:17:45,8:22:09,8:26:32,8:30:56,8:35:20,8:39:43,8:48:31,8:52:55,8:57:18,9:01:42,9:06:06,9:10:30,9:14:55,9:23:42,9:28:06,9:32:30,9:36:54,9:41:20,9:45:44,9:50:08,9:58:56,10:03:20,10:07:44,10:12:08,10:16:32,10:20:56,10:25:20,10:34:09,10:38:33,10:42:57,10:47:21,10:51:45,10:56:09,11:00:34,11:04:58,11:13:58,11:18:36,11:23:32,11:28:07,11:32:31,11:36:55,11:41:18,11:50:08,11:54:32,11:58:55,12:03:28,12:12:15,12:16:39,12:25:28,12:34:15,12:38:39,12:43:03,12:47:27,12:51:50,12:56:14,13:00:38,13:09:26,13:13:50,13:18:15,13:22:39,13:27:02,13:31:26,13:35:50,13:40:13,13:49:03,13:53:27,13:57:50,14:02:14,14:06:38,14:11:02,14:15:26,14:24:13,14:28:37,14:33:01,14:37:24,14:41:48,14:46:12,14:50:35,14:59:23,15:03:47,15:08:11,15:12:35,15:16:59,15:21:23,15:25:47,15:34:34,15:38:58,15:43:23,15:47:53,15:52:17,15:56:44,16:01:08,16:05:35,16:14:24,16:18:48,16:23:12,16:27:35,16:31:59,16:36:23,16:40:47,16:49:39,16:54:02,16:58:26,17:02:50,17:07:14,17:11:38,17:16:01,17:20:25,17:29:13,17:33:37,17:38:00,17:42:24,17:46:47,17:51:11,17:55:35,18:04:23,18:08:46,18:13:10,18:17:34,18:22:59,18:27:28,18:31:52,18:36:16,18:40:40,18:49:27,18:53:50,18:58:14,19:02:37,19:07:01,19:11:24,19:15:48,19:24:35,19:28:58,19:33:22,19:37:46,19:42:09,19:46:33,19:50:56,19:59:43,20:04:06,20:08:29,20:12:53,20:17:17,20:21:40,20:26:04,20:34:51,20:39:14,20:43:38,20:48:01,20:52:25,20:56:48,21:01:11,21:09:59,21:14:22,21:18:46,21:23:09,21:27:33,21:31:57,21:36:20,21:45:07,21:49:31,21:53:55,21:58:18,22:02:42,22:07:05,22:11:29,22:20:16,22:24:40,22:29:03,22:33:27,22:37:51,22:42:14,22:46:38,22:51:02,22:59:49,23:04:13,23:08:37,23:13:00,23:17:24,23:21:48,23:26:12,23:35:00,23:39:24,23:43:47,23:48:12,23:52:35,23:57:12
39.33,115.51,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,1,,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,1,,1,,,,,1,1,,1,1,,1,2,,,,,,,2,2,2,1,,1,1,,,2,1,2,,,1,1,1,2,,,1,,,,1,,1,,,,,1,,,1,3,,1,2,1,,2,,2,2,,,,1,1,,,,,1,,,,,,,,1,1,1,,1,2,,1,,,1,,,2,,,,,,,1,1,4,2,,,1,,2,1,1,1,,,1,,,1,,1,,,2,1,4,1,,1,1,2,,,1,1,,,,,,1,,1,2,1,1,1,3,,1,1,3,2,,3,,,4,3,1,,,3,4,1,,,1,6,3,1,1,1,,1,,1,,1,,1,2,,,,3,2,,,,,1
39.33,115.52,1,4,,,3,6,7,3,,3,1,,2,,4,3,1,,1,1,2,,3,3,1,,4,3,,1,5,3,,1,,3,2,1,,1,2,2,2,,1,1,5,,,1,4,,2,1,3,1,3,3,2,1,2,,2,,3,,2,,2,3,,3,3,5,8,,3,4,1,,6,4,4,,5,3,,3,5,3,1,,1,1,4,3,4,1,1,,1,2,2,4,1,7,1,4,1,,5,,4,4,3,5,1,,1,1,4,,8,1,,1,,,2,1,,4,3,3,,2,1,,1,3,2,,3,,3,7,5,3,1,,5,,6,,8,5,,6,2,2,3,6,6,,2,3,3,2,,1,2,6,5,4,,1,5,2,,2,2,1,1,1,3,,3,,5,,1,3,,3,,1,1,,4,,,3,1,4,5,1,4,,,5,7,3,,4,3,,6,3,1,,4,2,4,3,3,4,2,2,4,4,7,,,,8,3,,,,4,2,4,,3,,7,8,,7,4,8,3,4,2,,7,4,,,5,,3,,,7,4,4,,,,,13,6,5,2,5,6,,3,6,,4,4,1,4,
39.33,115.53,1,8,3,7,6,4,3,8,4,10,3,5,2,5,4,3,7,8,4,6,4,4,5,1,5,4,3,4,6,5,3,3,4,2,3,7,3,2,2,7,1,2,1,3,4,1,1,4,1,,,2,1,1,3,4,2,1,,2,,5,4,3,3,3,6,3,8,4,3,,3,2,4,1,4,4,8,4,3,6,5,9,7,7,3,7,2,5,7,4,4,1,3,2,5,7,,5,3,6,6,2,2,2,3,3,2,2,3,2,4,4,4,3,3,3,3,7,5,7,5,1,1,1,4,2,6,5,2,8,6,2,2,3,1,4,4,,2,,1,1,6,4,1,2,7,15,,7,3,,9,4,4,,4,5,,2,3,2,11,6,12,6,9,9,4,9,2,5,6,6,1,2,8,10,10,6,5,4,2,3,3,4,2,3,3,5,10,6,5,3,8,8,6,6,7,3,6,7,8,,2,,1,4,6,6,13,10,3,4,,,,,4,4,4,10,6,,3,10,4,5,8,7,8,11,4,,8,2,8,3,12,6,,6,9,1,12,11,14,11,12,5,9,4,11,,10,,,12,9,7,10,8,10,7,7,10,,11,12,13,9,6,10,11,,,7,7,3,7,5,7,7,6
39.33,115.54,1,1,1,1,1,,,,,,1,,,,3,,1,,1,1,1,,2,1,1,,,,2,,,1,,,1,1,1,,,1,2,,,,2,,,,1,1,1,,1,,1,,,,,,,,,,,1,,,,1,1,,1,,2,1,1,3,,1,,1,2,1,,,,2,1,1,,,2,3,1,2,1,1,,,,,2,,2,,1,1,,2,1,,1,1,1,,2,,,,,1,,,,1,1,2,1,1,,1,,,,,1,,3,,1,,4,1,,1,3,1,,,,1,,,,2,,,2,2,1,2,2,1,,2,1,3,,,,1,,,,,,1,,,,,1,1,,1,,,1,1,1,1,3,1,1,1,,,,1,,,,,,2,,,1,3,,3,3,,,,1,1,,2,1,2,1,1,1,,,,,3,,2,1,,1,1,2,,,2,1,4,2,,5,2,4,2,1,2,3,4,1,,4,1,4,1,4,,1,2,1,,3,2,,,4,4,,1,,1,3,,1,3,1,2,,,,2,1,
39.33,115.55,,1,1,,1,,,1,3,,,2,2,,2,,,3,,,1,,,,,1,1,,,,2,,,,,,1,,,,,1,,,1,,,,,,,,,,2,,,,,,,,1,,2,,2,1,,,1,1,2,,2,,1,1,,,3,1,,,3,2,1,,,2,,3,,,,1,1,,,,1,3,1,2,1,1,1,,2,,,,3,1,,1,,1,,,1,,3,,2,1,,2,1,2,1,,2,,1,1,,1,,,3,1,4,1,1,,,,1,1,2,,,1,1,3,2,,,1,1,,1,,2,1,2,,1,,,1,,,,1,,2,,1,,,,1,,,1,,,1,,,2,3,,2,,,,,,,,,,,1,,2,,,1,1,,1,1,,,,1,,2,,,,,3,,7,1,,3,3,,,2,,2,2,,,,,,1,3,,3,3,8,1,3,,2,,1,1,,,4,,3,,4,2,1,,1,,,,1,,,,,3,2,,1,,1,,,1,2
39.33,115.56,5,6,5,,2,6,1,3,5,5,7,2,3,6,3,6,3,,5,5,6,4,7,3,4,3,2,2,1,2,4,2,2,6,2,4,,,7,5,6,3,5,2,3,,3,2,1,1,4,5,,4,1,5,3,1,5,6,4,,4,3,,4,2,6,4,4,3,1,7,4,4,3,5,7,5,4,8,12,8,1,4,4,3,1,,3,2,,2,3,4,2,3,3,3,4,2,,3,1,1,1,,2,,1,4,,,3,2,1,2,3,1,2,2,,2,2,3,1,2,,1,6,3,1,4,1,4,3,3,2,4,6,2,,2,6,1,4,,2,6,2,,4,5,4,3,6,9,6,1,8,3,6,,4,3,,1,3,3,2,,,3,4,1,2,2,,1,2,3,1,3,1,1,2,4,,3,1,,2,6,6,3,,3,1,5,,3,,3,1,1,1,,1,,,,,1,2,1,1,,,1,,,1,3,1,1,3,5,3,7,,,4,5,4,4,3,,4,5,3,3,4,5,,11,7,,5,,3,,5,,3,8,,7,,4,,4,,7,,,3,,,6,,6,6,3,5,5,2,7,9,,,5,,8,,3,
39.33,115.57,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,1,,3,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,,1,,3,,1,,1,,,,1,,2,2,1,8,,3,4,1,,1,,,,,1,,,1,,,,1,,,12,,4,,,,2,,,,,,,,,,6,,,,1,1,,,,,1,2,,,,,,1,,2,3,,,,,1,,1,,1,,,,,1,,,,,1,1,,,1,,2,,1,1,1,,4,,3,1,5,4,7,,4,3,4,4,,,,,1,2,,,,1,,,1,,3,,1,,,,,,,,4,,1,1,,1,,1,,,2,,,,,,,1,10,7,,,4,,4,,,,6,,5,6,,,,,,,,,,2,,1,,2,,,1,1,,1,3,,,,,
39.33,115.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
39.33,115.59,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,1,,,,,1,,3,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,2,1,,1,,,1,,1,1,,1,,2,,1,1,,,,1,,,1,3,,1,,2,3,1,,1,,,,,,2,,,,,,,,,,1,1,,,1,,,1,1,,1,,,,,,,,2,,,,,1,,,,,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,,1,,,
39.33,115.6,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,,1,,,,1,1,1,1,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,1,,,,,
39.33,115.61,,,,3,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,1,,,,,3,,,,1,,,,1,,,,,1,,1,,,,,,,1,1,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,5,1,,,,1,1,,,,,,,,,,,,,,,,,,,1,2,,,,,3,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,
39.33,115.62,,,1,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,2,,,,1,,,,1,,,,1,,,,,,,2,,,,1,1,,,1,2,1,,1,,1,,,,,,,1,,,,,1,1,1,,,,1,1,,2,1,,,,,1,1,2,,,,,,,,,,,1,1,,,,,,,,1,,3,,,,,,1,1,,,,,,,,,,,,,2,1,1,1,1,,2,,1,,4,1,1,,,1,1,,,1,4,1,,,,,2,1,1,,,,,,1,,,,,,,,,,1,1,,,,,,,1,1,1,,,1,,,,,,,1,,,1,,,,,,3,,,,,2,,,4,,1,1,4,1,1,1,3,4,2,,1,,,2,,,2,,1,,,2,,1,2,1,,,2,1,1,1,1,,1,1,,,,,,2,1,,1,,,,,2,,,,,1,,1
39.33,115.63,2,,,2,1,1,,2,,,,,1,1,2,,2,1,1,4,,1,,,,2,1,1,1,1,,,1,1,,,1,,,,,,,1,1,,1,,,1,,,,,1,,,1,1,,,1,,,,5,,,,,1,,2,1,,2,,,2,3,1,1,2,2,,2,3,1,2,2,1,1,1,,2,1,4,7,5,2,,,1,,1,1,,2,,2,1,2,1,2,,1,,,,,2,,1,,,1,3,2,1,1,,2,1,,,1,,2,1,3,,1,,,2,,,3,2,3,2,1,,,1,2,2,1,,,4,3,1,,,3,1,2,,,,1,2,,1,3,2,2,2,,1,2,1,,,2,,1,2,1,2,4,1,1,1,,,1,2,4,,2,,3,2,,,1,1,1,2,,,,2,3,1,,,1,4,4,2,,,4,1,2,3,,1,1,5,3,2,4,4,,3,2,6,4,3,,4,4,6,3,5,4,3,9,5,2,4,4,4,,7,4,8,,5,2,,,4,1,,1,6,8,4,7,5,3,5,2,4,3,4,3,4,5,5,2
39.33,115.64,,,,,,,,1,,,,2,,,,,1,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,1,,1,1,,1,,1,1,,,,,,,,,,1,1,,,,,1,1,,,,2,1,1,,,1,,,,,,1,2,,1,,,,,2,,2,3,,1,1,1,,1,3,1,1,,2,,1,,3,,1,3,,1,,,,,1,4,,,,,2,2,,2,1,,,3,,,,1,1,2,,1,,,1,,1,1,,,,,1,,5,1,2,1,,,1,,1,,1,1,2,,2,1,,,,3,5,,,,,2,,,3,,3,,,1,,2,1,1,,2,3,3,1,1,1,1,,1,1,,1,,,2,,1,,,2,,2,,1,3,1,,1,2,,1,6,,1,2,,,,,1,,2,,,1,,,2,3,2,1,,1,,2,,2,2,,,,,1,,2,,,1,3,,2,,3,,4,3,4,,,,,,,,2,,,,
39.33,115.65,1,,3,2,2,2,1,,3,,,1,1,,2,1,1,1,3,1,,1,,1,1,,2,1,2,,1,1,,2,2,2,1,2,1,3,,,1,3,1,,,,1,1,2,,,1,2,,,1,2,3,2,,,,1,1,1,,,,4,,2,3,2,4,,5,2,3,,,3,2,3,2,2,2,1,2,,,1,6,,1,,6,2,3,3,4,,3,2,4,1,,3,2,2,,2,1,,4,1,1,2,,2,2,4,2,2,4,1,3,,,,1,1,1,4,4,,1,1,3,5,1,5,4,7,,1,6,2,3,5,2,4,2,4,2,2,2,3,2,2,,1,1,4,8,3,4,3,2,,2,3,4,1,2,1,3,2,1,7,3,,1,2,4,3,2,3,2,1,2,2,1,1,1,,2,1,3,1,2,,2,1,1,3,4,4,3,3,3,2,2,5,2,3,3,5,,,6,5,3,4,2,4,3,7,6,5,3,5,7,15,4,,3,6,,,,5,,3,,,6,,3,4,,,,4,3,6,,4,3,,1,3,2,,2,,2,3,2,,7,3,3,3,2,1,,,1,3,2,2,,4,1
